Simbolo,Freq. absoluta,Freq. percentual
a,48169,13.14709936269225
e,44965,12.272609413594989
o,37358,10.196378126833794
s,28853,7.875049469819998
i,22837,6.233060851290309
r,22637,6.178473463706211
m,18525,5.056156774977142
d,17496,4.775304665856954
n,17417,4.753742647761235
u,17296,4.720717278272855
t,15599,4.257543294621778
c,12044,3.2872524803144234
l,9926,2.709172045798818
p,9641,2.6313850184914775
v,6324,1.7260531954092007
q,5057,1.3802420950639356
h,4612,1.2587851576893159
g,4046,1.1043028508263166
ã,3909,1.066910490331209
f,3526,0.96237564310766
b,3300,0.9006918951376285
é,2084,0.5688005786263084
á,1630,0.44488720881040433
ç,1615,0.44079315474159697
z,1611,0.439701406989915
j,1152,0.3144233524844085
í,1107,0.30214119027798625
x,979,0.26720526222416313
ó,720,0.1965145953027553
ê,646,0.1763172618966388
à,503,0.1372872797740082
ú,292,0.0796975858727841
õ,204,0.055679135335780665
ô,135,0.03684648661926662
â,117,0.03193362173669773
ü,41,0.011190414454740233
w,3,0.0008188108137614804
º,3,0.0008188108137614804
k,3,0.0008188108137614804
y,2,0.000545873875840987
ò,1,0.0002729369379204935
